comments_num,director,name,order,score,screenwriter,type
524095,王晶,九品芝麻官,No.182,8.6,王晶,"剧情,喜剧,古装"
499011,王家卫,东邪西毒 東邪西毒,No.181,8.6,"王家卫,金庸","剧情,动作,爱情,武侠,古装"
645321,"丹尼·博伊尔,洛芙琳·坦丹",贫民窟的百万富翁 Slumdog Millionaire,No.180,8.6,"西蒙·博福伊,维卡斯·史瓦卢普","剧情,爱情"
614347,理查德·柯蒂斯,真爱至上 Love Actually,No.179,8.6,理查德·柯蒂斯,"剧情,喜剧,爱情"
480714,达米恩·查泽雷,爆裂鼓手 Whiplash,No.178,8.7,达米恩·查泽雷,"剧情,音乐"
220324,阿尔弗雷德·希区柯克,惊魂记 Psycho,No.177,9.0,"约瑟夫·斯蒂凡诺,罗伯特·布洛克","悬疑,惊悚,恐怖"
367444,达米安·斯兹弗隆,荒蛮故事 Relatos salvajes,No.176,8.8,达米安·斯兹弗隆,"剧情,喜剧,犯罪"
206504,热拉尔·乌里,虎口脱险 La grande vadrouille,No.200,8.9,"热拉尔·乌里,达妮埃尔·汤普森,马塞尔·朱利安,乔治·塔贝,安德烈·塔贝","喜剧,战争"
253349,斯坦利·库布里克,2001太空漫游 2001: A Space Odyssey,No.199,8.8,"亚瑟·克拉克,斯坦利·库布里克","科幻,惊悚,冒险"
257892,郭柯,二十二,No.198,8.7,,纪录片
601901,李安,色，戒,No.197,8.5,"王蕙玲,詹姆斯·夏慕斯,张爱玲","剧情,爱情,情色"
389172,宫崎骏,魔女宅急便 魔女の宅急便,No.196,8.7,"宫崎骏,角野荣子","动画,奇幻,冒险"
177047,"斯坦利·多南,吉恩·凯利",雨中曲 Singin' in the Rain,No.195,9.1,"贝蒂·康登,阿多夫·格林","喜剧,爱情,歌舞"
675443,克里斯托弗·史密斯,恐怖游轮 Triangle,No.194,8.5,克里斯托弗·史密斯,"剧情,悬疑,惊悚"
558975,尼克·卡萨维蒂,恋恋笔记本 The Notebook,No.193,8.6,"扬·萨尔迪,杰里米·莱文,尼古拉斯·斯帕克斯","剧情,爱情"
350612,巴瑞·莱文森,雨人 Rain Man,No.192,8.7,"罗纳德·巴斯,巴里·莫罗",剧情
683472,宁浩,疯狂的石头,No.191,8.5,"张承,宁浩,岳小军","喜剧,犯罪"
361111,高畑勋,萤火虫之墓 火垂るの墓,No.190,8.7,"高畑勋,野坂昭如","剧情,动画,战争"
527998,"卡洛斯·沙尔丹哈,克里斯·韦奇",冰川时代 Ice Age,No.189,8.6,"迈克尔·伯格 ,迈克尔·J·威尔森,彼得·阿克曼","喜剧,动画,冒险"
286764,藤森雅也,你看起来好像很好吃 おまえうまそうだな,No.188,8.9,"村上修,神野博明,宫西达也","剧情,动画,儿童"
comments_num,director,name,order,score,screenwriter,type
374263,李惠民,新龙门客栈 新龍門客棧,No.215,8.6,"徐克,张炭,吕晓禾,司徒慧焯,何冀平,苏叔阳","动作,爱情,武侠,古装"
438886,徐克,青蛇,No.214,8.6,"李碧华,徐克","剧情,爱情,奇幻,古装"
698081,邓肯·琼斯,源代码 Source Code,No.213,8.5,本·雷普利,"科幻,悬疑,惊悚"
225315,杨德昌,牯岭街少年杀人事件 牯嶺街少年殺人事件,No.212,8.9,"杨德昌,赖铭堂,杨顺清,鸿鸿","剧情,犯罪"
347360,罗伯·莱纳,遗愿清单 The Bucket List,No.211,8.7,贾斯汀·扎克汉姆,"剧情,喜剧,冒险"
327289,伦尼·阿伯拉罕森,房间 Room,No.210,8.8,艾玛·多诺霍,"剧情,家庭"
294101,詹姆斯·卡梅隆,终结者2：审判日 Terminator 2: Judgment Day,No.208,8.8,"詹姆斯·卡梅隆,小威廉·威谢尔","动作,科幻"
354415,黄信尧,大佛普拉斯,No.209,8.7,黄信尧,"剧情,喜剧"
