comments_num,director,name,order,screenwriter,type_one,type_two,type_three,type_four,type_five,score
998270,延尚昊,釜山行 ???,143,延尚昊,动作,惊悚,灾难,无,无,9
359215,汉内斯·赫尔姆,一个叫欧维的男人决定去死 En man som heter Ove,144,"弗雷德里克·巴克曼,汉内斯·赫尔姆",剧情,无,无,无,无,8.7
213909,"严定宪,王树忱,徐景达",哪吒闹海,145,王树忱,动画,奇幻,冒险,无,无,8.9
509892,昆汀·塔伦蒂诺,被解救的姜戈 Django Unchained,146,昆汀·塔伦蒂诺,剧情,动作,西部,冒险,无,8.9
673122,梅尔·吉布森,血战钢锯岭 Hacksaw Ridge,147,"安德鲁·奈特,罗伯特·申坎",剧情,传记,历史,战争,无,8.7
250724,今敏,未麻的部屋 Perfect Blue,148,"村井贞之,竹内义和",动画,惊悚,奇幻,无,无,8.9
162398,黑泽明,七武士 七人の侍,149,"黑泽明,桥本忍,小国英雄",剧情,动作,冒险,无,无,8.7
270909,杰茜·尼尔森,我是山姆 I Am Sam,150,"杰茜·尼尔森,克里斯汀·约翰逊",剧情,家庭,无,无,无,8.9
1166830,史蒂文·斯皮尔伯格,头号玩家 Ready Player One,151,"扎克·佩恩,恩斯特·克莱恩",动作,科幻,冒险,无,无,8.6
288929,李安,喜宴 囍宴,152,"李安,冯光远,詹姆斯·夏慕斯",剧情,喜剧,爱情,同性,家庭,8.8
440272,温子仁,电锯惊魂 Saw,153,"温子仁,雷·沃纳尔",悬疑,惊悚,恐怖,无,无,8.7
315032,朴勋政,新世界 ???,154,朴勋政,剧情,犯罪,无,无,无,8.9
313135,宫崎骏,风之谷 風の谷のナウシカ,155,宫崎骏,动画,奇幻,冒险,无,无,8.7
268200,特瑞·乔治,卢旺达饭店 Hotel Rwanda,156,"凯尔·皮尔森,特瑞·乔治",剧情,传记,历史,战争,无,8.6
261645,"费尔南多·梅里尔斯,卡迪亚·兰德",上帝之城 Cidade de Deus,157,"保罗·林斯,布罗里欧·曼托伐尼",剧情,犯罪,无,无,无,8.6
522859,莫滕·泰杜姆,模仿游戏 The Imitation Game,158,"格拉汉姆·摩尔,安德鲁·霍奇斯",剧情,同性,传记,战争,无,8.6
1158320,奉俊昊,寄生虫 ???,159,"奉俊昊,韩进元",剧情,喜剧,无,无,无,8.6
730022,"柯克·德·米科,克里斯·桑德斯",疯狂原始人 The Croods,160,"克里斯·桑德斯,柯克·德·米科,约翰·克里斯",喜剧,动画,冒险,无,无,8.7
702650,马丁·麦克唐纳,"三块广告牌 Three Billboards Outside Ebbing, Missouri",161,马丁·麦克唐纳,剧情,犯罪,无,无,无,9
491321,王家卫,花样年华 花樣年華,162,王家卫,剧情,爱情,无,无,无,8.8
441901,吴宇森,英雄本色,163,"陈庆嘉,吴宇森,梁淑华",剧情,动作,犯罪,无,无,8.9
360191,保罗·格林格拉斯,谍影重重3 The Bourne Ultimatum,164,"托尼·吉尔罗伊,乔治·诺非,斯科特·Z·本恩斯",动作,悬疑,惊悚,无,无,8.8
365967,"拉娜·沃卓斯基,莉莉·沃卓斯基",黑客帝国3：矩阵革命 The Matrix Revolutions,165,"莉莉·沃卓斯基,拉娜·沃卓斯基",动作,科幻,无,无,无,8.7
380871,让-马克·瓦雷,达拉斯买家俱乐部 Dallas Buyers Club,166,"克莱格·鲍登,梅丽莎·沃雷克",剧情,同性,传记,无,无,8.5
349022,吴宇森,纵横四海 緃横四海,167,"吴宇森,高志森,秦小珍",剧情,喜剧,动作,犯罪,无,8.7
503648,"彼特·道格特,罗纳尔多·德尔·卡门",头脑特工队 Inside Out,168,"彼特·道格特,罗纳尔多·德尔·卡门,梅格·勒福夫,乔什·库雷,迈克尔·阿恩特,西蒙·里奇,鲍勃·彼德森,比尔·哈德尔,艾米·波勒",喜剧,动画,冒险,无,无,9.1
1173378,新海诚,你的名字。 君の名は。,169,新海诚,剧情,爱情,动画,无,无,8.5
422817,忻钰坤,心迷宫,170,"忻钰坤,冯元良,鲁妮凡",剧情,悬疑,犯罪,无,无,8.6
512400,罗启锐,岁月神偷 歲月神偷,171,"罗启锐,张婉婷",剧情,家庭,无,无,无,8.7
520865,克里斯托弗·诺兰,记忆碎片 Memento,172,"克里斯托弗·诺兰,乔纳森·诺兰",剧情,悬疑,惊悚,犯罪,无,8.5
162251,神山征二郎,忠犬八公物语 ハチ公物語,173,新藤兼人,剧情,无,无,无,无,8.7
489299,迈克·内威尔,哈利·波特与火焰杯 Harry Potter and the Goblet of Fire,174,"史蒂夫·克洛夫斯,J·K·罗琳",悬疑,奇幻,冒险,无,无,8.6
362746,是枝裕和,海街日记 海街diary,175,"是枝裕和,吉田秋生",剧情,家庭,无,无,无,8.9
367444,达米安·斯兹弗隆,荒蛮故事 Relatos salvajes,176,达米安·斯兹弗隆,剧情,喜剧,犯罪,无,无,8.6
220324,阿尔弗雷德·希区柯克,惊魂记 Psycho,177,"约瑟夫·斯蒂凡诺,罗伯特·布洛克",悬疑,惊悚,恐怖,无,无,8.6
480714,达米恩·查泽雷,爆裂鼓手 Whiplash,178,达米恩·查泽雷,剧情,音乐,无,无,无,8.5
614347,理查德·柯蒂斯,真爱至上 Love Actually,179,理查德·柯蒂斯,剧情,喜剧,爱情,无,无,8.9
